Frame,X,Y,Visibility,L,Theta,score
0,0,0,0,-inf,-inf,0.1348937302827835
1,0,0,0,-inf,-inf,0.1984352320432663
2,7,325,1,0.5,90.0,0.5679295659065247
3,0,0,0,-inf,-inf,0.737281322479248
4,633,156,1,3.48095166683197,-5.980414250318171,0.8283756971359253
5,638,155,1,4.600858770310879,-4.35239275463625,0.7162978053092957
6,646,117,1,2.5287267863750458,-18.630780956577215,0.732804000377655
7,648,117,1,3.132477968931198,-26.735572316507415,0.8455037474632263
8,652,117,1,3.5398195441812277,1.5714649563987655,0.7616901397705078
9,656,116,1,2.692580133676529,21.879696798307073,0.7138862609863281
10,660,116,1,2.2221447229385376,32.96225087257597,0.6550674438476562
11,657,116,1,0.5,0.0,0.41981157660484314
12,0,0,0,-inf,-inf,0.2986471652984619
13,0,0,0,-inf,-inf,0.2644399106502533
14,0,0,0,-inf,-inf,0.1870141178369522
15,0,0,0,-inf,-inf,0.2172326147556305
16,632,146,1,2.467579886317253,-27.632570229986737,0.528283417224884
17,0,0,0,-inf,-inf,0.35666850209236145
18,0,0,0,-inf,-inf,0.39970511198043823
19,0,0,0,-inf,-inf,0.3808583617210388
20,0,0,0,-inf,-inf,0.3270993232727051
21,728,205,1,1.5,0.0,0.5771949291229248
22,726,206,1,2.0,0.0,0.6402080655097961
23,718,210,1,0.0,0.0,0.42137905955314636
24,679,128,1,2.2356161177158356,-25.413171014703654,0.45974889397621155
25,682,126,1,2.835447371006012,-45.58062095403064,0.7668270468711853
26,690,125,1,3.4831466088071465,1.7454207748973738,0.6418148875236511
27,717,45,1,1.767767071723938,-44.99999999718004,0.6584591865539551
28,718,43,1,3.120121955871582,80.93095892173538,0.8379074931144714
29,719,41,1,3.3260134756565094,-33.98527440724462,0.8553875684738159
30,719,40,1,3.307757467031479,-17.029420123037895,0.8882901668548584
31,719,38,1,3.339367926120758,-21.192663542503922,0.8553487658500671
32,721,35,1,3.160614162683487,-69.7064710497594,0.8238915205001831
33,709,130,1,2.5,-89.99999999913376,0.8252587914466858
34,711,132,1,2.5,0.0,0.854692816734314
35,713,134,1,2.9154761135578156,59.03624346941333,0.883243978023529
36,713,134,1,2.6062000691890717,53.64622469970842,0.6796234250068665
37,715,137,1,2.1213203072547913,44.99999999676917,0.7054909467697144
38,699,210,1,2.4593394994735718,10.347725367816402,0.798064112663269
39,697,212,1,2.9089670181274414,-34.79316475840536,0.6839292049407959
40,683,222,1,6.495333701372147,-37.375560767096964,0.8780733346939087
41,718,36,1,1.5,90.0,0.6283847093582153
42,718,36,1,1.5,90.0,0.5587403774261475
43,718,36,1,1.5,90.0,0.5801417231559753
44,0,0,0,-inf,-inf,0.3011039197444916
45,0,0,0,-inf,-inf,0.24521981179714203
46,317,52,1,1.5,0.0,0.48937660455703735
47,319,52,1,0.5,0.0,0.4636909067630768
48,318,52,1,0.0,0.0,0.43521177768707275
49,0,0,0,-inf,-inf,0.6529946327209473
50,706,150,1,0.5,90.0,0.431308776140213
51,0,0,0,-inf,-inf,0.4615408778190613
52,685,41,1,1.0,90.0,0.44370514154434204
53,0,0,0,-inf,-inf,0.3070985972881317
54,685,42,1,1.4939390122890472,5.152423234454407,0.47986936569213867
55,688,240,1,0.5,90.0,0.6060361266136169
56,718,41,1,2.908562570810318,-34.9102706667853,0.8025797605514526
57,716,41,1,3.252594441175461,40.69693295393995,0.8802930116653442
58,716,41,1,3.590490460395813,28.45131314621233,0.888156533241272
59,713,40,1,3.181980460882187,45.00000000012897,0.8954249620437622
60,714,41,1,3.1819807291030884,44.99999999996789,0.9163826704025269
61,712,39,1,3.252594441175461,40.696932954992626,0.9119515419006348
62,708,38,1,2.5,90.0,0.8855201601982117
63,705,37,1,3.5290368795394897,-21.86524761155974,0.7618498206138611
64,0,0,0,-inf,-inf,0.40166106820106506
65,705,35,1,0.0,0.0,0.4123847782611847
66,0,0,0,-inf,-inf,0.39758944511413574
